gender,age,home,income,motivation,workday,wkendday,hobby
여자,30,경기도,무응답,스트레스 해소를 위해,2,5,헬스
여자,40,대구광역시,300만원 이상 500만원 미만,건강 관리를 위해,3,5,헬스
남자,30,대구광역시,500만원 이상 700만원 미만,가족-지인 등과 시간을 보내기 위해,1,2,헬스
남자,60,전라도,500만원 이상 700만원 미만,대인 관계-교제를 위해,2,5,헬스
남자,40,울산광역시,500만원 이상 700만원 미만,건강 관리를 위해,1,3,헬스
여자,30,경기도,300만원 이상 500만원 미만,건강 관리를 위해,3,6,헬스
남자,50,인천광역시,700만원 이상,건강 관리를 위해,5,10,헬스
여자,20,경기도,300만원 미만,건강 관리를 위해,2,0,헬스
남자,40,경기도,500만원 이상 700만원 미만,가족-지인 등과 시간을 보내기 위해,2,6,헬스
여자,40,경상도,700만원 이상,자기 계발을 위해,2,1,헬스
여자,20,경기도,무응답,가족-지인 등과 시간을 보내기 위해,3,5,헬스
여자,50,경상도,500만원 이상 700만원 미만,자기 계발을 위해,3,1,헬스
남자,40,경상도,300만원 이상 500만원 미만,가족-지인 등과 시간을 보내기 위해,2,4,헬스
여자,60,충청도,500만원 이상 700만원 미만,마음의 안정-휴식을 위해,3,4,헬스
여자,30,경상도,300만원 미만,가족-지인 등과 시간을 보내기 위해,4,4,헬스
남자,50,전라도,500만원 이상 700만원 미만,건강 관리를 위해,4,8,헬스
남자,50,경기도,500만원 이상 700만원 미만,건강 관리를 위해,2,2,헬스
남자,30,경기도,700만원 이상,마음의 안정-휴식을 위해,3,5,헬스
여자,60,부산광역시,700만원 이상,건강 관리를 위해,5,7,헬스
남자,50,충청도,700만원 이상,스트레스 해소를 위해,2,4,헬스
여자,20,전라도,300만원 이상 500만원 미만,건강 관리를 위해,2,5,헬스
남자,40,서울특별시,300만원 미만,마음의 안정-휴식을 위해,2,6,헬스
여자,40,서울특별시,300만원 이상 500만원 미만,건강 관리를 위해,3,7,헬스
남자,60,서울특별시,500만원 이상 700만원 미만,자기만족-즐거움을 위해,3,7,피크닉
여자,50,대구광역시,300만원 미만,남는 시간을 보내기 위해,2,5,피크닉
남자,60,경상도,700만원 이상,마음의 안정-휴식을 위해,3,8,피크닉
여자,20,대구광역시,700만원 이상,마음의 안정-휴식을 위해,2,10,피크닉
남자,60,서울특별시,500만원 이상 700만원 미만,스트레스 해소를 위해,2,10,피크닉
남자,40,충청도,500만원 이상 700만원 미만,마음의 안정-휴식을 위해,1,8,피크닉
여자,50,경상도,700만원 이상,마음의 안정-휴식을 위해,10,5,피크닉
여자,60,경상도,700만원 이상,자기만족-즐거움을 위해,1,3,피크닉
여자,40,충청도,300만원 이상 500만원 미만,자기만족-즐거움을 위해,2,4,피크닉
여자,40,서울특별시,500만원 이상 700만원 미만,기타,3,12,피크닉
여자,30,대전광역시,300만원 미만,스트레스 해소를 위해,2,3,피크닉
여자,60,전라도,300만원 미만,자기 계발을 위해,1,2,피크닉
남자,50,광주광역시,500만원 이상 700만원 미만,스트레스 해소를 위해,1,3,피크닉
여자,60,제주특별자치도,300만원 미만,자기 계발을 위해,4,8,피크닉
여자,50,서울특별시,700만원 이상,마음의 안정-휴식을 위해,3,9,피크닉
남자,40,울산광역시,700만원 이상,자기만족-즐거움을 위해,0,5,피크닉
여자,50,경상도,무응답,자기 계발을 위해,4,1,피크닉
남자,60,서울특별시,700만원 이상,건강 관리를 위해,3,3,피크닉
여자,40,인천광역시,300만원 이상 500만원 미만,마음의 안정-휴식을 위해,4,2,캠핑
남자,60,전라도,300만원 미만,스트레스 해소를 위해,5,5,캠핑
남자,30,대전광역시,700만원 이상,자기만족-즐거움을 위해,4,12,캠핑
여자,20,서울특별시,300만원 미만,자기만족-즐거움을 위해,5,10,캠핑
남자,40,경상도,500만원 이상 700만원 미만,가족-지인 등과 시간을 보내기 위해,2,6,캠핑
여자,40,전라도,300만원 미만,가족-지인 등과 시간을 보내기 위해,0,6,캠핑
여자,40,전라도,700만원 이상,스트레스 해소를 위해,2,6,캠핑
남자,40,서울특별시,500만원 이상 700만원 미만,마음의 안정-휴식을 위해,0,0,캠핑
남자,40,경기도,300만원 이상 500만원 미만,스트레스 해소를 위해,3,6,캠핑
남자,60,경기도,300만원 이상 500만원 미만,자기만족-즐거움을 위해,5,10,캠핑
여자,40,전라도,700만원 이상,가족-지인 등과 시간을 보내기 위해,16,10,캠핑
여자,50,경기도,500만원 이상 700만원 미만,건강 관리를 위해,1,5,캠핑
남자,30,경기도,300만원 이상 500만원 미만,자기만족-즐거움을 위해,1,4,캠핑
여자,50,강원도,500만원 이상 700만원 미만,스트레스 해소를 위해,1,3,캠핑
여자,30,대구광역시,700만원 이상,자기만족-즐거움을 위해,3,12,캠핑
여자,40,경기도,500만원 이상 700만원 미만,자기만족-즐거움을 위해,3,5,캠핑
여자,40,경기도,300만원 이상 500만원 미만,가족-지인 등과 시간을 보내기 위해,3,5,캠핑
남자,40,충청도,300만원 이상 500만원 미만,남는 시간을 보내기 위해,2,6,캠핑
여자,60,경상도,300만원 미만,마음의 안정-휴식을 위해,6,10,캠핑
남자,40,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,4,4,캠핑
남자,60,광주광역시,700만원 이상,건강 관리를 위해,6,8,캠핑
여자,60,부산광역시,300만원 이상 500만원 미만,스트레스 해소를 위해,1,3,캠핑
여자,30,경상도,300만원 이상 500만원 미만,가족-지인 등과 시간을 보내기 위해,0,0,캠핑
여자,40,충청도,300만원 이상 500만원 미만,자기만족-즐거움을 위해,3,5,캠핑
여자,40,대구광역시,300만원 이상 500만원 미만,스트레스 해소를 위해,5,17,캠핑
남자,60,서울특별시,300만원 이상 500만원 미만,자기만족-즐거움을 위해,8,8,캠핑
여자,30,충청도,300만원 이상 500만원 미만,자기 계발을 위해,3,1,캠핑
남자,40,경기도,500만원 이상 700만원 미만,자기 계발을 위해,2,4,캠핑
남자,60,서울특별시,700만원 이상,스트레스 해소를 위해,1,8,캠핑
여자,30,경기도,300만원 미만,스트레스 해소를 위해,4,4,캠핑
남자,40,충청도,700만원 이상,가족-지인 등과 시간을 보내기 위해,1,8,축제
여자,30,부산광역시,300만원 이상 500만원 미만,자기만족-즐거움을 위해,4,2,축제
여자,50,전라도,300만원 이상 500만원 미만,건강 관리를 위해,4,3,축제
여자,30,서울특별시,300만원 미만,마음의 안정-휴식을 위해,6,3,축제
남자,40,경기도,300만원 이상 500만원 미만,스트레스 해소를 위해,6,12,축제
남자,50,서울특별시,300만원 미만,자기만족-즐거움을 위해,2,8,축제
여자,30,경기도,300만원 이상 500만원 미만,가족-지인 등과 시간을 보내기 위해,2,4,축제
여자,60,경기도,300만원 미만,자기만족-즐거움을 위해,2,4,축제
여자,60,경기도,300만원 미만,자기만족-즐거움을 위해,2,4,축제
남자,60,강원도,300만원 이상 500만원 미만,스트레스 해소를 위해,10,8,축제
여자,30,충청도,500만원 이상 700만원 미만,자기만족-즐거움을 위해,1,3,축제
남자,40,충청도,300만원 미만,건강 관리를 위해,1,6,축제
남자,20,서울특별시,500만원 이상 700만원 미만,남는 시간을 보내기 위해,4,10,축제
여자,30,서울특별시,700만원 이상,자기만족-즐거움을 위해,5,10,축제
여자,50,광주광역시,300만원 미만,자기 계발을 위해,3,3,축제
남자,40,광주광역시,300만원 이상 500만원 미만,스트레스 해소를 위해,1,2,축제
남자,50,인천광역시,700만원 이상,가족-지인 등과 시간을 보내기 위해,2,6,축제
여자,30,대전광역시,700만원 이상,스트레스 해소를 위해,3,3,축제
남자,50,전라도,700만원 이상,건강 관리를 위해,1,8,축제
남자,60,경상도,300만원 이상 500만원 미만,자기 계발을 위해,2,2,축제
남자,60,전라도,300만원 이상 500만원 미만,마음의 안정-휴식을 위해,1,4,축제
남자,30,경상도,무응답,가족-지인 등과 시간을 보내기 위해,5,10,축제
남자,60,부산광역시,700만원 이상,대인 관계-교제를 위해,3,5,축제
남자,30,대구광역시,무응답,자기만족-즐거움을 위해,1,2,축제
여자,20,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,2,10,축제
남자,40,강원도,무응답,마음의 안정-휴식을 위해,1,3,축제
